Residual Sugar,Quality
1.9,5
2.6,5
2.3,5
1.9,6
1.9,5
1.8,5
1.6,5
1.2,7
2,7
6.1,5
1.8,5
6.1,5
1.6,5
1.6,5
3.8,5
3.9,5
1.8,7
1.7,5
4.4,4
1.8,6
1.8,6
2.3,5
1.6,5
2.3,5
2.4,6
1.4,5
1.8,5
1.6,5
1.9,5
2,6
2.4,5
2.5,6
2.3,5
10.7,6
1.8,5
5.5,6
2.4,6
2.1,7
1.5,4
5.9,5
5.9,5
2.8,4
2.6,6
2.2,5
1.8,5
2.1,4
2.2,5
1.6,5
1.6,5
1.4,5
1.7,5
2.2,6
2.1,6
3,5
2.8,6
3.8,5
3.4,5
5.1,5
2.3,5
2.4,6
2.2,5
1.8,5
1.9,7
2,5
4.65,5
4.65,5
1.5,5
1.6,5
2,5
1.9,6
1.9,6
2.1,5
1.9,5
2.1,4
2.5,5
2.2,5
2.2,5
2.4,6
2,5
1.5,4
1.6,5
1.9,5
2,5
1.8,5
1.8,6
2.2,5
1.9,6
1.9,5
2.1,5
1.8,5
1.9,5
1.9,6
2,5
1.9,5
1.4,4
2.3,6
3,5
2,5
2.5,5
1.9,6
